,totaltraveltime,day,mean_temp,rain,snow,hail,snowfall,precip,red_sox_game,prevlinkratio,prevtotaltraveltime,date,time,holiday,friday_bforholiday,school_holiday
0,10.83333333,1,41,0,0,0,0.0,0.0,0,0.999832468482,15.8928395497,2014-04-01,00:04:58.000020,0.0,0.0,0.0
1,11.18333333,1,41,0,0,0,0.0,0.0,0,0.751134449484,15.8928395497,2014-04-01,00:22:24,0.0,0.0,0.0
2,9.3,1,41,0,0,0,0.0,0.0,0,0.561595848153,10.83333333,2014-04-01,00:44:40.999980,0.0,0.0,0.0
3,9.2,1,41,0,0,0,0.0,0.0,0,0.59318561469,11.18333333,2014-04-01,00:59:39,0.0,0.0,0.0
4,11.4,1,41,0,0,0,0.0,0.0,0,0.596695591558,9.3,2014-04-01,04:59:04.999980,0.0,0.0,0.0
5,10.566666667,1,41,0,0,0,0.0,0.0,0,1.05299221792,9.2,2014-04-01,05:28:34.999980,0.0,0.0,0.0
6,11.65,1,41,0,0,0,0.0,0.0,0,0.64583522706,11.4,2014-04-01,05:41:55.999980,0.0,0.0,0.0
7,9.866666667,1,41,0,0,0,0.0,0.0,0,0.849413722384,10.566666667,2014-04-01,05:59:40.999980,0.0,0.0,0.0
8,12.85,1,41,0,0,0,0.0,0.0,0,0.751134448852,11.65,2014-04-01,06:16:46.999980,0.0,0.0,0.0
9,11.166666667,1,41,0,0,0,0.0,0.0,0,0.944183021997,9.866666667,2014-04-01,06:34:52.000020,0.0,0.0,0.0
10,13.1,1,41,0,0,0,0.0,0.0,0,0.786234189309,12.85,2014-04-01,06:46:21,0.0,0.0,0.0
11,9.7,1,41,0,0,0,0.0,0.0,0,0.996832632893,11.166666667,2014-04-01,06:46:49.000020,0.0,0.0,0.0
12,12.916666666,1,41,0,0,0,0.0,0.0,0,0.487886394162,13.1,2014-04-01,07:00:04.999980,0.0,0.0,0.0
13,13.75,1,41,0,0,0,0.0,0.0,0,0.670405045338,9.7,2014-04-01,07:15:15,0.0,0.0,0.0
14,15.483333333,1,41,0,0,0,0.0,0.0,0,0.916103229589,12.916666666,2014-04-01,07:15:55.000020,0.0,0.0,0.0
15,16.516666667,1,41,0,0,0,0.0,0.0,0,0.751134448852,13.75,2014-04-01,07:38:19.000020,0.0,0.0,0.0
16,17.066666667,1,41,0,0,0,0.0,0.0,0,1.00385258115,15.483333333,2014-04-01,07:39:22.000020,0.0,0.0,0.0
17,18.316666667,1,41,0,0,0,0.0,0.0,0,1.14776151753,16.516666667,2014-04-01,07:57:10.000020,0.0,0.0,0.0
18,13.816666666,1,41,0,0,0,0.0,0.0,0,1.21445102474,17.066666667,2014-04-01,08:05:48,0.0,0.0,0.0
19,18.216666666,1,41,0,0,0,0.0,0.0,0,0.842393774335,18.316666667,2014-04-01,08:18:06,0.0,0.0,0.0
20,17.066666667,1,41,0,0,0,0.0,0.0,0,1.20743107648,13.816666666,2014-04-01,08:26:37.999980,0.0,0.0,0.0
21,14.9,1,41,0,0,0,0.0,0.0,0,1.07054208836,18.216666666,2014-04-01,08:45:45,0.0,0.0,0.0
22,13.333333334,1,41,0,0,0,0.0,0.0,0,1.04948224379,17.066666667,2014-04-01,08:54:37.000020,0.0,0.0,0.0
23,12.933333333,1,41,0,0,0,0.0,0.0,0,0.793254137569,14.9,2014-04-01,08:55:33,0.0,0.0,0.0
24,13.716666666,1,41,0,0,0,0.0,0.0,0,1.00736255507,13.333333334,2014-04-01,08:59:31.000020,0.0,0.0,0.0
25,20.4,1,41,0,0,0,0.0,0.0,0,0.877493514792,12.933333333,2014-04-01,09:12:13.000020,0.0,0.0,0.0
26,12.766666667,1,41,0,0,0,0.0,0.0,0,1.29869040217,13.716666666,2014-04-01,09:27:07.000020,0.0,0.0,0.0
27,19.9,1,41,0,0,0,0.0,0.0,0,0.716034708185,20.4,2014-04-01,09:40:54,0.0,0.0,0.0
28,15.466666666,1,41,0,0,0,0.0,0.0,0,1.12670167317,12.766666667,2014-04-01,09:46:37.999980,0.0,0.0,0.0
29,17.383333333,1,41,0,0,0,0.0,0.0,0,0.814313981717,19.9,2014-04-01,09:56:45,0.0,0.0,0.0
30,17.6,1,41,0,0,0,0.0,0.0,0,1.10213185468,15.466666666,2014-04-01,09:58:49.000020,0.0,0.0,0.0
31,18.8,1,41,0,0,0,0.0,0.0,0,0.951202970046,17.383333333,2014-04-01,10:25:28.999980,0.0,0.0,0.0
32,15.05,1,41,0,0,0,0.0,0.0,0,0.961732892436,17.6,2014-04-01,10:25:40.999980,0.0,0.0,0.0
33,14.983333333,1,41,0,0,0,0.0,0.0,0,1.049482244,18.8,2014-04-01,10:39:12,0.0,0.0,0.0
