,totaltraveltime,day,mean_temp,rain,snow,hail,snowfall,precip,red_sox_game,prevlinkratio,prevtotaltraveltime,date,time,holiday,friday_bforholiday,school_holiday
51,15.716666667,1,41,0,0,0,0.0,0.0,0,1.12670167317,19.8,2014-04-01,895,0.0,0.0,0.0
52,15.2,1,41,0,0,0,0.0,0.0,0,1.11266177686,15.1,2014-04-01,915,0.0,0.0,0.0
53,19.75,1,41,0,0,0,0.0,0.0,0,1.02140245138,15.716666667,2014-04-01,923,0.0,0.0,0.0
54,15.216666666,1,41,0,0,0,0.0,0.0,0,1.14425154361,15.2,2014-04-01,936,0.0,0.0,0.0
55,14.25,1,41,0,0,0,0.0,0.0,0,1.05650219184,19.75,2014-04-01,941,0.0,0.0,0.0
56,19.533333333,1,41,0,0,0,0.0,0.0,0,1.00385258094,15.216666666,2014-04-01,978,0.0,0.0,0.0
57,21.316666667,1,41,0,0,0,0.0,0.0,0,1.20743107648,14.25,2014-04-01,997,0.0,0.0,0.0
58,13.01666667,1,41,0,0,0,0.0,0.0,0,1.43908936526,19.533333333,2014-04-01,1002,0.0,0.0,0.0
59,15.6,1,41,0,0,0,0.0,0.0,0,0.761664371663,21.316666667,2014-04-01,1004,0.0,0.0,0.0
60,24.55,1,41,0,0,0,0.0,0.0,0,1.05650219057,13.01666667,2014-04-01,1010,0.0,0.0,0.0
61,20.78333333,1,41,0,0,0,0.0,0.0,0,1.08809195922,15.6,2014-04-01,1032,0.0,0.0,0.0
62,19.1,1,41,0,0,0,0.0,0.0,0,1.11617175099,24.55,2014-04-01,1034,0.0,0.0,0.0
63,20.08333334,1,41,0,0,0,0.0,0.0,0,0.863453618693,20.78333333,2014-04-01,1045,0.0,0.0,0.0
64,17.55,1,41,0,0,0,0.0,0.0,0,1.09160193398,19.1,2014-04-01,1050,0.0,0.0,0.0
65,17.48333333,1,41,0,0,0,0.0,0.0,0,1.11617175099,20.08333334,2014-04-01,1064,0.0,0.0,0.0
66,15.03333333,1,41,0,0,0,0.0,0.0,0,1.28816047852,17.55,2014-04-01,1064,0.0,0.0,0.0
67,14.91666667,1,41,0,0,0,0.0,0.0,0,0.828353877394,17.48333333,2014-04-01,1092,0.0,0.0,0.0
68,15.68333333,1,41,0,0,0,0.0,0.0,0,0.863453618693,15.03333333,2014-04-01,1099,0.0,0.0,0.0
69,17.9,1,41,0,0,0,0.0,0.0,0,1.04246229574,14.91666667,2014-04-01,1101,0.0,0.0,0.0
70,15.88333333,1,41,0,0,0,0.0,0.0,0,0.765174344319,15.68333333,2014-04-01,1107,0.0,0.0,0.0
71,17.53333333,1,41,0,0,0,0.0,0.0,0,1.08809195922,17.9,2014-04-01,1118,0.0,0.0,0.0
72,13.2,1,41,0,0,0,0.0,0.0,0,1.33730011676,15.88333333,2014-04-01,1128,0.0,0.0,0.0
73,17.01666667,1,41,0,0,0,0.0,0.0,0,0.761664369557,17.53333333,2014-04-01,1132,0.0,0.0,0.0
74,17.56666666,1,41,0,0,0,0.0,0.0,0,1.11617175099,13.2,2014-04-01,1134,0.0,0.0,0.0
75,15.03333334,1,41,0,0,0,0.0,0.0,0,1.15829143971,17.01666667,2014-04-01,1142,0.0,0.0,0.0
76,12.48333333,1,41,0,0,0,0.0,0.0,0,1.10564182881,17.56666666,2014-04-01,1149,0.0,0.0,0.0
77,14.95,1,41,0,0,0,0.0,0.0,0,0.898553357887,15.03333334,2014-04-01,1160,0.0,0.0,0.0
78,15.91666667,1,41,0,0,0,0.0,0.0,0,0.954712943544,12.48333333,2014-04-01,1164,0.0,0.0,0.0
79,17.21666667,1,41,0,0,0,0.0,0.0,0,1.14074157011,14.95,2014-04-01,1176,0.0,0.0,0.0
80,19.88333334,1,41,0,0,0,0.0,0.0,0,1.33730011676,15.91666667,2014-04-01,1193,0.0,0.0,0.0
81,15.86666667,1,41,0,0,0,0.0,0.0,0,1.61809804294,17.21666667,2014-04-01,1195,0.0,0.0,0.0
82,11.41666667,1,41,0,0,0,0.0,0.0,0,1.15127149229,19.88333334,2014-04-01,1195,0.0,0.0,0.0
83,14.08333333,1,41,0,0,0,0.0,0.0,0,0.916103229589,15.86666667,2014-04-01,1218,0.0,0.0,0.0
84,15.46666667,1,41,0,0,0,0.0,0.0,0,0.842393774335,11.41666667,2014-04-01,1229,0.0,0.0,0.0
85,15.15,1,41,0,0,0,0.0,0.0,0,0.870473566111,14.08333333,2014-04-01,1230,0.0,0.0,0.0
86,13.91666667,1,41,0,0,0,0.0,0.0,0,0.852923696514,15.46666667,2014-04-01,1253,0.0,0.0,0.0
87,13.86666666,1,41,0,0,0,0.0,0.0,0,0.961732893068,15.15,2014-04-01,1258,0.0,0.0,0.0
88,11.6,1,41,0,0,0,0.0,0.0,0,0.607225511631,13.91666667,2014-04-01,1287,0.0,0.0,0.0
89,16.33333333,1,41,0,0,0,0.0,0.0,0,0.923123179113,13.86666666,2014-04-01,1294,0.0,0.0,0.0
90,11.25,1,41,0,0,0,0.0,0.0,0,0.845903749097,11.6,2014-04-01,1298,0.0,0.0,0.0
91,12.56666667,1,41,0,0,0,0.0,0.0,0,0.579145719855,16.33333333,2014-04-01,1315,0.0,0.0,0.0
92,13.4,1,41,0,0,0,0.0,0.0,0,0.849413723858,11.25,2014-04-01,1338,0.0,0.0,0.0
93,12.58333334,1,41,0,0,0,0.0,0.0,0,0.831863852156,12.56666667,2014-04-01,1346,0.0,0.0,0.0
94,9.21666667,1,41,0,0,0,0.0,0.0,0,0.845903749097,13.4,2014-04-01,1358,0.0,0.0,0.0
95,12.6,1,41,0,0,0,0.0,0.0,0,0.561595850259,12.58333334,2014-04-01,1379,0.0,0.0,0.0
96,9.31666667,1,41,0,0,0,0.0,0.0,0,0.856433671276,9.21666667,2014-04-01,1386,0.0,0.0,0.0
97,12.65,1,41,0,0,0,0.0,0.0,0,0.600205564214,12.6,2014-04-01,1400,0.0,0.0,0.0
98,13.85,1,41,0,0,0,0.0,0.0,0,0.673915019468,9.31666667,2014-04-01,1406,0.0,0.0,0.0
99,16.61666667,1,41,0,0,0,0.0,0.0,0,0.940673048709,12.65,2014-04-01,1422,0.0,0.0,0.0
100,17.4,1,41,0,0,0,0.0,0.0,0,0.607225511631,13.85,2014-04-01,1435,0.0,0.0,0.0
101,9.96666667,2,42,0,0,0,0.0,0.0,0,0.0947692996127,16.61666667,2014-04-02,3,0.0,0.0,0.0
102,10.08333333,2,42,0,0,0,0.0,0.0,0,0.84800965083,17.4,2014-04-02,25,0.0,0.0,0.0
103,12.36666667,2,42,0,0,0,0.0,0.0,0,0.576783891596,9.96666667,2014-04-02,32,0.0,0.0,0.0
104,9.4,2,42,0,0,0,0.0,0.0,0,0.83770993848,10.08333333,2014-04-02,42,0.0,0.0,0.0
105,10.35,2,42,0,0,0,0.0,0.0,0,0.573350653459,12.36666667,2014-04-02,297,0.0,0.0,0.0
106,11.433333333,2,42,0,0,0,0.0,0.0,0,0.600816553814,9.4,2014-04-02,330,0.0,0.0,0.0
107,12.816666667,2,42,0,0,0,0.0,0.0,0,0.631715690864,10.35,2014-04-02,342,0.0,0.0,0.0
108,10.833333334,2,42,0,0,0,0.0,0.0,0,0.848009650212,11.433333333,2014-04-02,358,0.0,0.0,0.0
109,10.166666666,2,42,0,0,0,0.0,0.0,0,0.714113389663,12.816666667,2014-04-02,374,0.0,0.0,0.0
