Date,Federal holiday,Day of the week,holiday
1/1/14,New Year's Day,Wednesday,1
1/20/14,Martin Luther King Day,Monday,1
2/17/14,Presidents' Day,Monday,1
4/18/14,Good Friday,Friday,1
4/21/14,Patriot's Day,Monday,1
5/26/14,Memorial Day,Monday,1
7/4/14,Independence Day,Friday,1
9/1/14,Labor Day,Monday,1
10/13/14,Columbus Day,Monday,1
11/11/14,Veterans Day,Tuesday,1
11/27/14,Thanksgiving Day,Thursday,1
12/25/14,Christmas Day,Thursday,1
