cluster,date,totaltraveltime,time,day,mean_temp,rain,snow,hail,snowfall,precip,red_sox_game,prevlinkratio,prevtotaltraveltime,holiday,friday_bforholiday,school_holiday
0,2014-04-18,19.600000000000001,823,4,37,0,0,0,0.0,0.0,0,2.0961253958900001,23.616666666999997,1.0,0.0,0.0
0,2014-04-18,20.233333334000001,822,4,37,0,0,0,0.0,0.0,0,1.4182738997100002,18.033333332999998,1.0,0.0,0.0
0,2014-04-18,23.616666666999997,798,4,37,0,0,0,0.0,0.0,0,1.18884723946,15.066666666,1.0,0.0,0.0
0,2014-04-18,16.899999999999999,887,4,37,0,0,0,0.0,0.0,0,0.74737472670100003,18.600000000000001,1.0,0.0,0.0
0,2014-04-18,18.033333332999998,765,4,37,0,0,0,0.0,0.0,0,0.98375370970800002,17.233333333000001,1.0,0.0,0.0
0,2014-04-18,17.233333333000001,728,4,37,0,0,0,0.0,0.0,0,1.02546764793,22.783333333000002,1.0,0.0,0.0
0,2014-04-18,17.149999999999999,720,4,37,0,0,0,0.0,0.0,0,1.19927572402,21.133333332999999,1.0,0.0,0.0
0,2014-04-18,22.783333333000002,703,4,37,0,0,0,0.0,0.0,0,1.14713330123,15.949999999999999,1.0,0.0,0.0
0,2014-04-05,15.066666667,618,5,46,1,0,0,0.0,0.23000000000000001,0,1.09784447669,14.483333334000001,0.0,0.0,0.0
0,2014-04-05,14.949999999999999,622,5,46,1,0,0,0.0,0.23000000000000001,0,1.0448937784500001,14.733333332999999,0.0,0.0,0.0
0,2014-04-05,16.283333332999998,639,5,46,1,0,0,0.0,0.23000000000000001,0,0.90016187001300008,15.066666667,0.0,0.0,0.0
0,2014-04-18,15.066666666,753,4,37,0,0,0,0.0,0.0,0,1.0776100709300001,17.149999999999999,1.0,0.0,0.0
0,2014-04-18,16.949999999999999,888,4,37,0,0,0,0.0,0.0,0,0.62918523478099997,14.666666667000001,1.0,0.0,0.0
0,2014-04-18,16.333333334000002,899,4,37,0,0,0,0.0,0.0,0,1.16799027035,16.899999999999999,1.0,0.0,0.0
0,2014-04-13,15.166666667000001,617,6,54,1,0,0,0.0,0.040000000000000001,0,1.01766486241,14.933333333,0.0,0.0,0.0
0,2014-04-25,16.5,804,4,50,0,0,0,0.0,0.0,0,1.2097042085700001,16.866666667000001,0.0,0.0,0.0
0,2014-04-25,19.733333333000001,797,4,50,0,0,0,0.0,0.0,0,1.0289438097299999,17.716666667000002,0.0,0.0,0.0
0,2014-04-25,16.866666667000001,792,4,50,0,0,0,0.0,0.0,0,0.95594441783500006,19.633333332999999,0.0,0.0,0.0
0,2014-04-25,17.716666667000002,765,4,50,0,0,0,0.0,0.0,0,1.0880385554799998,17.733333334000001,0.0,0.0,0.0
0,2014-04-25,19.633333332999999,737,4,50,0,0,0,0.0,0.0,0,1.3209413773200001,18.466666665999998,0.0,0.0,0.0
0,2014-04-25,17.733333334000001,726,4,50,0,0,0,0.0,0.0,0,1.3626553153400001,16.283333334000002,0.0,0.0,0.0
0,2014-04-29,22.533333333000002,825,1,43,1,0,0,0.0,0.01,0,0.80729403387799992,19.016666665999999,0.0,0.0,0.0
0,2014-04-29,8.6333333339999996,815,1,43,1,0,0,0.0,0.01,0,1.1372315953500001,16.133333334,0.0,0.0,0.0
0,2014-04-29,19.016666665999999,804,1,43,1,0,0,0.0,0.01,0,1.0986218807700001,13.466666667,0.0,0.0,0.0
0,2014-04-24,16.5,892,3,51,0,0,0,0.0,0.0,0,0.87112304721800005,17.433333333,0.0,0.0,1.0
0,2014-04-24,17.066666666,877,3,51,0,0,0,0.0,0.0,0,1.0196099302700001,16.350000000000001,0.0,0.0,1.0
0,2014-04-24,17.433333333,876,3,51,0,0,0,0.0,0.0,0,0.87772246437400003,14.6,0.0,0.0,1.0
0,2014-04-24,16.350000000000001,867,3,51,0,0,0,0.0,0.0,0,0.75893295793599991,16.583333332999999,0.0,0.0,1.0
0,2014-04-24,14.6,855,3,51,0,0,0,0.0,0.0,0,0.94701634293199999,18.666666667000001,0.0,0.0,1.0
0,2014-04-24,16.583333332999999,839,3,51,0,0,0,0.0,0.0,0,1.3231831135200001,18.449999999999999,0.0,0.0,1.0
0,2014-04-19,13.9,795,5,50,0,0,0,0.0,0.0,0,1.2566965714,21.166666667000001,0.0,0.0,0.0
0,2014-04-05,16.383333332999999,652,5,46,1,0,0,0.0,0.23000000000000001,0,1.1366749886600001,14.949999999999999,0.0,0.0,0.0
0,2014-04-19,14.016666667000001,796,5,50,0,0,0,0.0,0.0,0,1.1260848490100002,22.316666666,0.0,0.0,0.0
0,2014-04-19,19.816666667,816,5,50,0,0,0,0.0,0.0,0,1.0554839181,14.016666667000001,0.0,0.0,0.0
0,2014-04-20,16.050000000000001,642,6,44,0,0,0,0.0,0.0,0,1.1444328035299998,17.733333333000001,0.0,0.0,1.0
0,2014-04-26,18.466666667000002,645,5,45,1,0,0,0.0,0.20000000000000001,0,0.89663182360499993,13.883333334000001,0.0,0.0,0.0
0,2014-04-15,17.683333333,857,1,55,1,0,0,0.0,0.62,0,0.91610322958900003,22.116666666999997,0.0,0.0,0.0
0,2014-04-15,13.383333332999999,891,1,55,1,0,0,0.0,0.62,0,0.69146488969600006,16.483333333000001,0.0,0.0,0.0
0,2014-04-15,19.916666667000001,891,1,55,1,0,0,0.0,0.62,0,0.55808587549699995,17.683333333,0.0,0.0,0.0
0,2014-04-14,12.5,856,0,66,0,0,0,0.0,0.0,0,0.95858732704100003,15.233333332999999,0.0,0.0,0.0
0,2014-04-20,16.616666666,658,6,44,0,0,0,0.0,0.0,0,1.1655607939599999,16.149999999999999,0.0,0.0,1.0
0,2014-04-14,15.233333332999999,850,0,66,0,0,0,0.0,0.0,0,0.93767269444900003,17.300000000000001,0.0,0.0,0.0
0,2014-04-14,17.300000000000001,828,0,66,0,0,0,0.0,0.0,0,1.1049897553899999,16.283333332999998,0.0,0.0,0.0
0,2014-04-14,17.316666667,822,0,66,0,0,0,0.0,0.0,0,0.97253041550500008,16.183333333,0.0,0.0,0.0
0,2014-04-14,16.283333332999998,795,0,66,0,0,0,0.0,0.0,0,0.87492879667500001,16.199999999999999,0.0,0.0,0.0
0,2014-04-14,16.183333333,791,0,66,0,0,0,0.0,0.0,0,0.89932920143499995,18.75,0.0,0.0,0.0
0,2014-04-14,16.199999999999999,766,0,66,0,0,0,0.0,0.0,0,0.87492879688400005,20.316666666,0.0,0.0,0.0
0,2014-04-14,18.75,745,0,66,0,0,0,0.0,0.0,0,1.5860263047900001,22.483333334000001,0.0,0.0,0.0
0,2014-04-14,15.233333332999999,831,0,66,0,0,0,0.0,0.0,0,1.0561889458700002,17.316666667,0.0,0.0,0.0
0,2014-04-14,20.316666666,735,0,66,0,0,0,0.0,0.0,0,1.12241861581,16.216666667000002,0.0,0.0,0.0
